Precio,M2,Balcon2,Amenities,cocinaSep,Monoambiente,A Estrenar,Patio PB,PB,Precio_predicho,residuo,es_outlier,tipo_outlier
72000,40,1,0,0,0,0,0,0,86050.14,-14050.14,False,normal
86000,36,0,0,0,0,0,0,0,75892.55,10107.45,False,normal
75000,49,1,0,0,0,0,0,0,86330.72,-11330.72,False,normal
60000,64,0,0,1,0,0,0,0,76864.33,-16864.33,False,normal
85000,49,1,0,1,0,0,1,0,81457.27,3542.73,False,normal
89000,48,1,0,0,0,0,0,0,86299.55,2700.45,False,normal
85000,52,1,1,1,0,0,0,0,105854.12,-20854.12,False,normal
90000,50,0,0,1,0,0,0,0,76427.88,13572.12,False,normal
72000,37,1,0,0,0,0,0,0,85956.61,-13956.61,False,normal
95000,38,0,0,0,0,0,0,0,75954.9,19045.1,False,normal
88000,45,1,0,1,0,0,0,0,86304.89,1695.11,False,normal
89000,35,0,0,0,0,0,0,0,75861.37,13138.63,False,normal
138000,100,1,1,1,0,0,0,1,113570.56,24429.44,False,normal
87000,50,1,0,1,0,0,0,0,86460.77,539.23,False,normal
80000,54,1,0,1,0,0,0,0,86585.47,-6585.47,False,normal
105000,52,1,1,0,0,0,0,0,105755.24,-755.24,False,normal
118900,78,1,1,1,0,0,0,0,106664.68,12235.32,False,normal
75000,42,1,0,1,0,0,0,0,86211.37,-11211.37,False,normal
65000,55,1,0,1,0,0,0,0,86616.65,-21616.65,False,normal
89500,45,1,0,0,0,0,0,0,86206.02,3293.98,False,normal
75000,50,1,0,0,0,0,0,0,86361.9,-11361.9,False,normal
115000,46,1,1,0,0,0,1,0,100595.87,14404.13,False,normal
62000,35,0,0,1,0,0,0,0,75960.24,-13960.24,False,normal
102000,60,1,0,0,0,1,0,1,99215.67,2784.33,False,normal
65000,35,0,1,0,0,0,1,0,90220.04,-25220.04,False,normal
75000,58,0,0,1,0,0,1,0,71704.96,3295.04,False,normal
57000,44,0,0,0,0,0,0,0,76141.95,-19141.95,False,normal
79500,50,1,1,1,0,0,0,0,105791.77,-26291.77,False,normal
85000,55,1,1,1,0,0,0,0,105947.64,-20947.64,False,normal
86000,60,0,1,0,0,1,1,0,97321.43,-11321.43,False,normal
110000,46,1,1,0,0,1,0,0,111890.19,-1890.19,False,normal
67000,40,1,0,1,0,0,0,0,86149.02,-19149.02,False,normal
84000,52,1,0,0,0,0,0,0,86424.25,-2424.25,False,normal
125000,67,1,0,1,0,0,0,0,86990.75,38009.25,False,normal
62000,40,1,0,1,0,0,0,0,86149.02,-24149.02,False,normal
62000,36,0,0,1,0,0,0,0,75991.42,-13991.42,False,normal
110000,50,1,0,0,0,0,0,0,86361.9,23638.1,False,normal
75500,45,0,0,1,0,0,1,0,71299.68,4200.32,False,normal
59000,45,0,0,1,0,0,0,0,76272.0,-17272.0,False,normal
85000,48,0,0,1,0,0,0,0,76365.53,8634.47,False,normal
114300,60,1,1,0,0,0,0,0,106004.65,8295.35,False,normal
117100,58,1,1,0,0,0,0,0,105942.29,11157.71,False,normal
77000,45,1,0,1,0,0,0,0,86304.89,-9304.89,False,normal
95000,45,1,0,0,0,1,0,0,92528.02,2471.98,False,normal
112000,55,1,1,0,0,1,0,0,112170.77,-170.77,False,normal
114000,59,1,1,0,0,0,0,1,112193.49,1806.51,False,normal
169000,72,0,1,0,0,0,0,1,102565.88,66434.12,True,sobrevaluado
86000,58,1,1,0,0,1,1,1,113511.99,-27511.99,False,normal
87000,60,1,0,1,0,0,0,1,92992.54,-5992.54,False,normal
83000,55,1,0,1,0,0,0,0,86616.65,-3616.65,False,normal
135500,73,0,1,0,0,0,0,0,96377.03,39122.97,False,normal
95000,54,0,0,0,0,0,0,0,76453.7,18546.3,False,normal
67000,40,1,1,1,0,0,0,0,105480.01,-38480.01,False,normal
70000,45,1,0,0,0,0,1,0,81233.69,-11233.69,False,normal
75000,43,0,0,1,0,0,0,0,76209.65,-1209.65,False,normal
68000,35,0,0,0,0,0,0,0,75861.37,-7861.37,False,normal
98000,49,0,0,1,0,0,0,1,82616.72,15383.28,False,normal
73000,40,1,0,1,0,0,0,0,86149.02,-13149.02,False,normal
68000,40,0,0,0,0,0,0,0,76017.25,-8017.25,False,normal
72000,40,1,0,1,0,0,0,0,86149.02,-14149.02,False,normal
69000,40,1,0,0,0,0,0,0,86050.14,-17050.14,False,normal
59000,47,1,0,0,0,0,0,0,86268.37,-27268.37,False,normal
108000,55,1,1,0,0,0,1,0,100876.44,7123.56,False,normal
127000,40,0,0,1,0,1,0,0,82438.12,44561.88,True,sobrevaluado
91000,60,0,0,0,0,0,0,0,76640.76,14359.24,False,normal
90000,45,1,1,0,0,1,0,1,118079.03,-28079.03,False,normal
64000,38,0,0,1,0,0,0,0,76053.77,-12053.77,False,normal
160000,50,1,1,1,0,0,0,0,105791.77,54208.23,True,sobrevaluado
113000,60,0,0,1,0,0,0,0,76739.63,36260.37,False,normal
64000,40,0,0,1,0,0,0,0,76116.12,-12116.12,False,normal
87000,42,1,0,0,0,0,0,0,86112.49,887.51,False,normal
70000,45,0,0,1,0,0,0,0,76272.0,-6272.0,False,normal
68000,45,1,0,0,0,0,0,0,86206.02,-18206.02,False,normal
109600,50,1,1,1,0,1,0,0,112113.77,-2513.77,False,normal
62000,36,0,0,1,0,0,0,0,75991.42,-13991.42,False,normal
89200,91,0,1,1,0,1,1,1,104606.76,-15406.76,False,normal
78000,66,1,0,1,0,0,0,1,93179.6,-15179.6,False,normal
62000,45,0,1,1,0,0,0,0,95602.99,-33602.99,False,normal
120000,45,0,0,0,0,0,0,0,76173.12,43826.88,True,sobrevaluado
87500,40,0,0,0,0,0,0,0,76017.25,11482.75,False,normal
73000,50,1,0,0,0,0,0,0,86361.9,-13361.9,False,normal
89000,59,1,0,1,0,0,0,0,86741.35,2258.65,False,normal
130000,70,1,1,1,0,0,0,1,112635.29,17364.71,False,normal
77500,38,1,0,1,0,0,0,0,86086.67,-8586.67,False,normal
128000,52,0,1,1,0,0,0,0,95821.22,32178.78,False,normal
68000,36,0,0,0,0,0,0,0,75892.55,-7892.55,False,normal
78000,52,1,0,0,0,0,0,0,86424.25,-8424.25,False,normal
108300,47,1,1,0,0,0,0,0,105599.36,2700.64,False,normal
65000,34,0,0,0,0,0,0,0,75830.19,-10830.19,False,normal
68000,44,0,0,0,0,0,0,0,76141.95,-8141.95,False,normal
75000,50,0,0,1,0,0,0,0,76427.88,-1427.88,False,normal
90000,45,1,1,0,0,1,0,1,118079.03,-28079.03,False,normal
74000,43,1,0,0,0,0,0,0,86143.67,-12143.67,False,normal
65000,26,0,0,0,0,0,0,0,75580.79,-10580.79,False,normal
70000,45,0,0,0,0,0,0,0,76173.12,-6173.12,False,normal
78900,45,1,0,0,0,0,0,0,86206.02,-7306.02,False,normal
64000,40,0,0,1,0,0,0,0,76116.12,-12116.12,False,normal
77500,41,1,0,1,0,0,0,0,86180.19,-8680.19,False,normal
62000,36,0,0,1,0,0,0,0,75991.42,-13991.42,False,normal
100000,47,1,1,0,0,1,0,0,111921.37,-11921.37,False,normal
63000,45,0,0,0,0,0,1,0,71200.8,-8200.8,False,normal
160000,80,0,1,1,0,0,0,0,96694.14,63305.86,True,sobrevaluado
112105,35,1,1,0,0,1,0,0,111547.26,557.74,False,normal
75000,318,0,0,1,0,0,1,1,86030.59,-11030.59,False,normal
109600,50,1,1,1,0,1,0,0,112113.77,-2513.77,False,normal
89000,55,1,0,1,0,0,0,0,86616.65,2383.35,False,normal
75000,42,0,0,0,0,0,0,0,76079.6,-1079.6,False,normal
62000,30,0,0,1,0,0,0,0,75804.37,-13804.37,False,normal
73000,45,0,0,0,0,0,0,0,76173.12,-3173.12,False,normal
98000,92,0,1,0,0,0,1,0,91997.04,6002.96,False,normal
112000,50,1,1,0,0,1,1,0,107042.57,4957.43,False,normal
72000,55,1,1,0,0,0,0,0,105848.77,-33848.77,False,normal
89000,43,1,0,1,0,0,0,0,86242.54,2757.46,False,normal
91300,58,0,1,0,0,1,1,0,97259.08,-5959.08,False,normal
80000,47,1,0,1,0,0,0,0,86367.24,-6367.24,False,normal
128000,115,0,1,0,0,1,0,1,110228.42,17771.58,False,normal
77500,41,1,0,1,0,0,0,0,86180.19,-8680.19,False,normal
62000,40,0,0,1,0,0,0,0,76116.12,-14116.12,False,normal
61999,40,0,0,1,0,0,0,0,76116.12,-14117.12,False,normal
65000,43,1,0,1,0,0,1,0,81270.22,-16270.22,False,normal
75000,43,1,0,1,0,0,0,0,86242.54,-11242.54,False,normal
79300,40,1,0,1,0,0,0,0,86149.02,-6849.02,False,normal
64000,40,1,0,1,0,0,0,0,86149.02,-22149.02,False,normal
79000,42,1,0,1,0,0,0,0,86211.37,-7211.37,False,normal
79000,44,0,0,1,0,0,1,1,77488.52,1511.48,False,normal
72000,39,1,0,1,0,0,0,0,86117.84,-14117.84,False,normal
97000,42,1,0,0,0,0,0,0,86112.49,10887.51,False,normal
63000,43,1,0,0,0,0,0,0,86143.67,-23143.67,False,normal
72000,40,1,0,1,0,0,0,0,86149.02,-14149.02,False,normal
98000,43,1,1,0,0,0,0,1,111694.68,-13694.68,False,normal
59000,47,1,0,0,0,0,0,0,86268.37,-27268.37,False,normal
100500,47,1,1,0,0,0,0,0,105599.36,-5099.36,False,normal
108000,53,1,0,1,0,0,0,0,86554.3,21445.7,False,normal
97000,45,0,0,1,0,0,0,0,76272.0,20728.0,False,normal
62000,40,0,0,1,0,0,0,0,76116.12,-14116.12,False,normal
79000,35,0,0,0,0,0,0,0,75861.37,3138.63,False,normal
75000,43,0,0,1,0,0,0,0,76209.65,-1209.65,False,normal
75000,58,0,0,1,0,0,1,0,71704.96,3295.04,False,normal
90000,45,1,0,0,0,1,0,0,92528.02,-2528.02,False,normal
95000,45,1,0,0,0,0,0,0,86206.02,8793.98,False,normal
69000,66,1,0,0,0,0,1,0,81888.38,-12888.38,False,normal
78900,45,1,0,0,0,0,0,0,86206.02,-7306.02,False,normal
63000,43,1,0,0,0,0,0,0,86143.67,-23143.67,False,normal
75000,58,0,0,1,0,0,1,0,71704.96,3295.04,False,normal
87500,40,0,0,0,0,0,0,0,76017.25,11482.75,False,normal
65000,50,1,0,0,0,0,0,0,86361.9,-21361.9,False,normal
68000,44,0,0,0,0,0,0,0,76141.95,-8141.95,False,normal
103000,53,1,0,1,0,0,0,0,86554.3,16445.7,False,normal
48000,46,0,0,1,0,0,1,0,71330.85,-23330.85,False,normal
85000,44,1,1,1,0,0,1,0,100632.39,-15632.39,False,normal
75000,42,0,0,1,0,0,0,0,76178.47,-1178.47,False,normal
78000,52,1,0,0,0,0,0,0,86424.25,-8424.25,False,normal
63000,45,0,0,0,0,0,1,0,71200.8,-8200.8,False,normal
115000,50,0,1,1,0,1,0,0,102080.87,12919.13,False,normal
160000,50,1,1,1,0,0,0,0,105791.77,54208.23,True,sobrevaluado
89200,91,0,1,1,0,1,1,1,104606.76,-15406.76,False,normal
75000,43,0,0,1,0,0,0,0,76209.65,-1209.65,False,normal
73000,40,1,0,1,0,0,0,0,86149.02,-13149.02,False,normal
69000,40,1,0,0,0,0,0,0,86050.14,-17050.14,False,normal
145000,55,1,1,0,0,1,0,0,112170.77,32829.23,False,normal
95000,45,1,0,0,0,0,0,1,92426.04,2573.96,False,normal
91000,44,1,0,0,0,0,0,0,86174.84,4825.16,False,normal
58000,42,0,0,1,0,0,0,0,76178.47,-18178.47,False,normal
69000,42,1,0,1,0,0,0,0,86211.37,-17211.37,False,normal
64000,38,0,0,1,0,0,0,0,76053.77,-12053.77,False,normal
73000,45,0,0,0,0,0,0,0,76173.12,-3173.12,False,normal
62000,36,0,0,1,0,0,0,0,75991.42,-13991.42,False,normal
62000,40,0,0,1,0,0,0,0,76116.12,-14116.12,False,normal
142000,55,1,0,1,0,1,0,0,92938.65,49061.35,True,sobrevaluado
140000,42,1,1,0,0,1,0,0,111765.49,28234.51,False,normal
86500,43,0,1,1,0,1,0,0,101862.64,-15362.64,False,normal
85000,45,1,0,1,0,0,1,0,81332.57,3667.43,False,normal
62000,45,0,1,1,0,0,0,0,95602.99,-33602.99,False,normal
79000,44,0,0,1,0,0,1,1,77488.52,1511.48,False,normal
128000,115,0,1,0,0,1,0,1,110228.42,17771.58,False,normal
125000,55,0,0,1,0,1,0,0,82905.75,42094.25,True,sobrevaluado
98000,92,0,1,0,0,0,1,0,91997.04,6002.96,False,normal
75000,43,1,0,1,0,0,0,0,86242.54,-11242.54,False,normal
65000,50,1,0,0,0,0,0,0,86361.9,-21361.9,False,normal
120000,45,0,0,0,0,0,0,0,76173.12,43826.88,True,sobrevaluado
110000,46,1,0,0,0,1,1,0,87586.87,22413.13,False,normal
78000,66,1,0,1,0,0,0,1,93179.6,-15179.6,False,normal
55000,31,1,0,0,0,0,0,0,85769.56,-30769.56,False,normal
100500,60,1,1,0,0,1,1,1,113574.34,-13074.34,False,normal
65000,37,0,0,0,0,0,0,0,75923.72,-10923.72,False,normal
60000,60,0,0,0,0,0,0,0,76640.76,-16640.76,False,normal
65000,41,1,0,0,0,0,1,0,81108.99,-16108.99,False,normal
99000,40,1,1,0,0,1,0,0,111703.14,-12703.14,False,normal
99000,45,1,0,0,0,1,0,0,92528.02,6471.98,False,normal
99800,60,0,0,0,0,0,0,0,76640.76,23159.24,False,normal
88000,45,1,0,0,0,1,0,0,92528.02,-4528.02,False,normal
125000,55,1,0,0,0,0,0,0,86517.77,38482.23,False,normal
94701,58,0,0,0,0,0,1,0,71606.08,23094.92,False,normal
123803,56,0,0,1,0,0,1,0,71642.61,52160.39,True,sobrevaluado
92900,45,1,0,0,0,1,0,0,92528.02,371.98,False,normal
